N_Circuito;Data_Rate;Data_Inst;Data_Activ;Estado_Cct;Entidade_PTR1;Morada_PTR1;Cod_Post_PTR1;Interface_PTR1;Equip_PTR1;Slot_PTR1;Trib_PTR1;Entidade_PTR2;Morada_PTR2;Cod_Post_PTR2;Interface_PTR2;Equip_PTR2;Slot_PTR2;Trib_PTR2;User_Cct;Propriedade_Cct;Outras_Ref
RFT000001;10 GbEth;2002-04-23;2005-10-11;Desligado;RT;Coimbra B;;G.703;SDH-1660-SL01;---;Tr 02;RT;Entrecampos;;G.703;SDH-1660-SL02;---;Tr 01;NorteNet;ReferTelecom;Prot.
RFT000002;2 Mbps;2002-04-23;2005-10-11;Desligado;RT;Viana Castelo;;G.703;OLTE-Sul;---;Tr 01;RT;Entrecampos;;G.703;SDH-1660-SL02;---;Tr 05;NorteNet;ReferTelecom;De Nine a Viana vai por OLTE.
RFT000003;2 Mbps;2002-05-02;2002-05-02;Desligado;RT;Stª Apolónia;;G.703;SDH-1641-SL03;---;Tr 14 (35);RT;Campolide DTI;;G.703;SDH-1641-SL02;---;Tr16;Rede de Dados;ReferTelecom;N. Prot.
RFT000004;34 Mbps;2002-05-15;2022-08-01;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;18;1;RT;Porto Campanhã;;G.703;PRCAMP_660_1;9;3;Rede de Dados;ReferTelecom;Desativado em 01-08-2022 - João Alves.
RFT000005;34 Mbps;2002-05-15;2002-05-15;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;18;2;RT;Pampilhosa;;G.703;PAMPLH_660_1;9;1;Rede de Dados;ReferTelecom;Protegido
RFT000006;34 Mbps;2002-05-15;2022-12-12;Desligado;RT;G. Oriente NOC;;G.703;ORINIC_660_1;18;3;RT;Entroncamento;;G.703;ENTCRM_660_1;15;3;Rede de Dados;ReferTelecom;"Protegido.
Desconfigurado em 12-12-2022. João Alves."
RFT000007;2 Mbps;2002-05-15;2021-12-22;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;5;17;RT;Aveiro;;G.703;AVEIRO_660_1;1;1;Rede de Dados;ReferTelecom;João Alves.
RFT000008;2 Mbps;2002-05-15;2022-01-26;Desligado;RT;Coimbra B;;G.703;COIMBB_660_1;1;3;RT;G. Oriente NOC;;G.703;ORINOC_660_1;5;18;Rede de Dados;ReferTelecom;Desligado. João Alves.
RFT000009;2 Mbps;2002-06-12;2024-03-27;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;10;RT;Lisboa Stª Apolónia;;G.703;STAPOL_650_1;1;17;Rede de Voz;ReferTelecom;Desativado em 27-03-2024 a pedido do Humbertyo e Carlos.
RFT000010;2 Mbps;2002-06-12;2004-08-16;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 11;RT;Stª Apolónia;;G.703;SDH-1641-SL03;---;Tr 30;Rede de Voz;ReferTelecom;N. Prot.
RFT000011;2 Mbps;2002-06-12;2012-12-31;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;13;RT;Rossio;;G.703;ROSSIO_641_1;2;13;Rede de Voz;ReferTelecom;Protegido
RFT000012;2 Mbps;2002-06-12;2002-06-12;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;12;RT;Rossio;;G.703;ROSSIO_642_1;4;6;Rede de Voz;ReferTelecom;Protegido
RFT000013;2 Mbps;2002-06-12;2002-06-12;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;8;RT;Campolide Estação;;G.703;CMPEST_660_1;1;8;Rede de Voz;ReferTelecom;Protegido
RFT000014;2 Mbps;2002-06-12;2002-06-12;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 09;RT;Campolide Est;;G.703;SDH-1641-SL02;---;Tr 09;Rede de Voz;ReferTelecom;N. Prot.
RFT000015;2 Mbps;2002-05-15;2002-05-15;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;1;RT;Entroncamento;;G.703;ENTCRM_660_1;1;1;Rede de Voz;ReferTelecom;Protegido
RFT000016;2 Mbps;2002-05-15;2002-05-15;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;2;RT;Coimbra B;;G.703;COIMBB_660_1;1;4;Rede de Voz;ReferTelecom;Protegido
RFT000017;2 Mbps;2002-05-12;2002-11-29;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 03;RT;Aveiro;;G.703;SDH-Nortel;---;Tr 06;Rede de Voz;ReferTelecom;Pampilhosa - SDH-1641-SL02-Tr18
RFT000018;2 Mbps;2002-05-15;2025-01-02;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;4;RT;Figueira da Foz;;G.703;FIGFOZ_660_1;1;2;Rede de Voz;ReferTelecom;Desligado no dia 2-01-2025 a pedido de Humberto Andrade.
RFT000019;2 Mbps;2002-09-05;2002-10-03;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;3;5;RT;Guarda;;G.703;GUARDA_650_2;1;8;Rede de Voz;ReferTelecom;
RFT000020;2 Mbps;2002-05-15;2024-12-04;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;5;RT;Porto Campanhã;;G.703;PRCAMP_660_2;1;1;Rede de Voz;ReferTelecom;Desativado a pedido do Humberto Andrade em 04-12-2024.
RFT000021;2 Mbps;2002-05-15;2012-01-31;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;6;RT;Porto Campanhã;;G.703;PRCAMP_660_2;1;2;Rede de Voz;ReferTelecom;Protegido
RFT000022;2 Mbps;2002-11-13;2003-01-15;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;21;RT;Barreiro;;G.703;BARERO_650_1;1;8;Rede de Voz;ReferTelecom;"Pinhal Novo - SDH 1660-SL01-Tr02
Protegido"
RFT000023;2 Mbps;2002-06-12;2002-06-12;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;7;RT;Setúbal;;G.703;SETBAL_660_1;1;2;Rede de Voz;ReferTelecom;Protegido
RFT000024;2 Mbps;2002-05-21;2005-06-15;Desligado;RT;Entrecampos;;G.703;SDH-1660-SL01;---;Tr 03;RT;Cacém;;G.703;SDH-1660-SL01;---;Tr 01;NorteNet;ReferTelecom;"Prot.
Desligado em 15-06-2005."
RFT000025;2 Mbps;2002-06-12;2006-05-25;Desligado;RT;Entrecampos;;G.703;SDH-1660-SL01;---;Tr 06;RT;S. João Estoril;;G.703;OLTE -ALCATEL;---;Tr 01;Claranet;ReferTelecom;"Campolide CTC - SL#1-Tr#1, Entre Campolide CTC e S, João do Estoril, OLTE-Alacatel nas fibras 35 e 36.,
Desligado em: 25-05-06"
RFT000026;2 Mbps;2002-06-12;2005-09-15;Desligado;RT;Entrecampos;;G.703;SDH-1641-SL02;---;Tr 12;RT;V. F. Xira;;G.703;OLTE-NORTE;---;Tr 04;Claranet;ReferTelecom;De SST V. F. Xira até V. F. Xira por OLTEs
RFT000027;2 Mbps;2002-05-29;2005-08-02;Desligado;RT;Entrecampos;;G.703;SDH-1660-SL01;---;Tr 04;RT;Setúbal;;G.703;SDH-1660-SL01;---;Tr 01;Claranet;ReferTelecom;N. Prot.
RFT000028;2 Mbps;2002-07-10;2007-05-08;Desligado;RT;Campanhã;;G.703;SDH-1660-SL01;---;Tr 04;RT;Contumil;;G.703;SDH-1660-SL01;---;Tr 01;Rede de Voz;ReferTelecom;Prot.
RFT000029;2 Mbps;2002-07-04;2007-12-31;Desligado;RT;Campolide DTI;;G.703;SDH-1641-SL02;---;Tr 01;RT;Campanhã;;G.703;SDH-1660-SL01;---;Tr 07;CP - DTI;ReferTelecom;Substitui circuito antigo
RFT000030;2 Mbps;2002-05-28;2008-10-20;Desligado;RT;Rossio;;G.703;ROSSIO_641_1;2;11;RT;Entrecampos;;G.703;ENTCMP_641_1;2;10;Rede de Voz;ReferTelecom;Protegido
RFT000031;2 Mbps;2002-07-10;2005-11-29;Desligado;RT;Entrecampos;;G.703;SDH-1660-SL02;---;Tr 03;RT;S. Bento;;G.703;SDH-1660-SL01;---;Tr 01;NorteNet;ReferTelecom;Prot.
RFT000032;2 Mbps;2002-06-12;2002-06-12;Activo;RT;Campolide CTC;;G.703;CMPCTC_660_2;1;12;RT;Campolide INF;;G.703;CMPINF_641_1;2;3;Rede de Voz;ReferTelecom;Não Protegido
RFT000033;2 Mbps;2002-06-12;2008-11-10;Desligado;RT;Campolide DTI;;G.703;CMPINF_641_1;2;19;RT;Campolide Estação;;G.703;CMPEST_641_1;3;12;Rede de Voz;ReferTelecom;"N. Prot.
Alterada a terminação com pedido na AT 6550085."
RFT000034;2 Mbps;2002-06-18;2002-06-18;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;15;RT;Tui_ADIF;;G.703;ADIF_TUI;;;Rede de Voz;ReferTelecom;"Interligação a Espanha (Valenca - Tui)
VC-12 _1.1.1"
RFT000035;2 Mbps;2002-06-18;2005-10-24;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 14;RT;Nine;;G.703;SDH-1660-SL01;---;Tr 06;Rede de Dados;ReferTelecom;Interligação a Espanha
RFT000036;2 Mbps;2002-06-18;2002-06-18;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;16;RT;Badajoz;;G.703;Badajoz;1;2;Rede de Voz;ReferTelecom;"Interligação a Espanha (Badajoz).
Elvas_642_2-b01p02-VC12-1.1.1"
RFT000037;2 Mbps;2002-06-18;2002-06-18;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 17;RT;Elvas;;G.703;SDH-1660-SL01;---;Tr 02;Rede de Dados;ReferTelecom;Interligação a Espanha
RFT000038;2 Mbps;2002-06-20;2006-11-27;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 18;RT;Fogueteiro;;G.703;OLTE-SUL;---;Tr 03;Rede de Voz;ReferTelecom;"até ao Fogueteiro em OLTE (Circuito PT) 1001234929.
Foi deligado em 18-11-2005."
RFT000039;34 Mbps;2002-08-12;2015-04-16;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;19;1;RT;Setúbal;;G.703;SETBAL_660_1;9;1;Rede de Dados;ReferTelecom;Protegido
RFT000040;34 Mbps;2002-08-16;2010-01-01;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;19;2;RT;Campolide CTC;;G.703;CMPCTC_660_2;20;1;Rede de Dados;ReferTelecom;Protegido
RFT000041;34 Mbps;2002-09-02;2022-03-30;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;19;3;RT;Lisboa Stª Apolónia;;G.703;STAPOL_650_1;3;1;Rede de Dados;ReferTelecom;Desativado em 30-03-2022. João Alves.
RFT000042;2 Mbps;2002-08-19;2004-01-29;Desligado;RT;Campanhã;;G.703;SDH-1660-SL01;---;Tr 20;RT;Gaia;;G.703;SDH-FOX-SL04;---;Tr 11;Rede de Dados;ReferTelecom;Desligado por indicação do Rui Bettencourt no dia 2004/02/29
RFT000043;2 Mbps;2002-07-10;2021-12-16;Desligado;RT;Porto Campanhã;;G.703;PRCAMP_660_2;1;5;RT;Contumil;;G.703;CONTML_660_1;1;2;Rede de Dados;ReferTelecom;Desativado em 16-12-2021. João Alves.
RFT000044;2 Mbps;2002-07-06;2002-07-06;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL01;---;Tr 21;RT;Stª Apolónia;;G.703;SDH-1641-SL03;---;Tr 35;Rede de Dados;ReferTelecom;
RFT000045;2 Mbps;2002-07-01;2007-06-04;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL02;---;Tr 01;RT;Entroncamento;;G.703;SDH-1641-SL02;---;Tr 10;Rede de Voz;ReferTelecom;Substitui circuito antigo, pedido para desligar no dia 04-06-2007
RFT000046;256 Kbps;2002-08-14;2004-02-02;Desligado;RT;Campanhã;;G.703;CCMIC;---;F1;RT;Régua;;G.703;CCMIC;---;F4;Rede de Dados;ReferTelecom;
RFT000047;2 Mbps;2002-08-27;2022-02-01;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;5;7;RT;Guarda;;G.703;GUARDA_650_1;1;8;Rede de Dados;ReferTelecom;Desativado - João Alves.
RFT000048;2 Mbps;2002-07-01;2002-07-01;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;2;2;RT;Coimbra B;;G.703;COIMBB_660_1;1;9;Rede de Voz;ReferTelecom;"Substitui circuito antigo
Protegido"
RFT000049;2 Mbps;2002-07-03;2002-07-03;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;2;3;RT;Lisboa Stª Apolónia;;G.703;STAPOL_650_1;1;18;Rede de Voz;ReferTelecom;Protegido
RFT000050;2 Mbps;2002-08-05;2010-03-02;Desligado;RT;Pampilhosa;;G.703;PAMPLH_660_1;1;12;RT;Coimbra B;;G.703;OLTE;---;Tr 01;Rede de Dados;ReferTelecom;"Em Coimbra B SDH-1660-SL01tr08 que liga ao TR01 da TE que vai para Coimbra A
Protegido"
RFT000051;2 Mbps;2002-07-04;2007-05-17;Desligado;RT;Coimbra B;;G.703;SDH-1660-SL01;---;Tr 06;RT;Campanhã;;G.703;SDH-1660-SL01;---;Tr 06;Rede de Voz;ReferTelecom;"Substitui circuito antigo
Pedida a sua desactivação"
RFT000052;2 Mbps;2002-07-04;2002-07-04;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;2;5;RT;Lisboa Stª Apolónia;;G.703;STAPOL_650_1;1;19;Rede de Voz;ReferTelecom;"Substitui circuito antigo
Não protegido"
RFT000053;2 Mbps;2002-09-02;2022-04-12;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;1;13;RT;Pinhal Novo;;G.703;PINOVO_660_1;1;1;Rede de Dados;ReferTelecom;Desativado em 12-404-2022. João Alves.
RFT000054;2 Mbps;2002-07-04;2024-04-30;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;2;6;RT;Lisboa Stª Apolónia;;G.703;STAPOL_650_1;1;5;Rede de Voz;ReferTelecom;Desativado em 30-04-2024 a pedido do Humberto Andrade.
RFT000055;2 Mbps;2002-09-02;2022-03-22;Desligado;RT;G.Oriente NOC;;G.703;ORINOC_660_1;1;20;RT;Vendas Novas;;G.703;VNOVAS_660_1;1;1;Rede de Dados;ReferTelecom;Desativado - João Alves.
RFT000056;2 Mbps;2002-07-08;2011-11-14;Desligado;RT;G. Oriente NOC;;G.703;ORINOC_660_1;2;16;RT;G. Oriente L7;;G.703;LISORI_650_1;2;3;Rede de Voz;ReferTelecom;"Entre as duas Salas
Protegido"
RFT000057;2 Mbps;2002-08-01;2002-11-25;Desligado;RT;Setúbal;;G.703;PDH-Philips  II;---;Tr 16;RT;Funcheira;;G.703;PDH-Philips;---;Tr 06;R. Acesso;ReferTelecom;
RFT000058;2 Mbps;2002-07-04;2002-07-04;Activo;RT;G. Oriente NOC;;G.703;ORINOC_660_1;13;3;RT;Porto Campanhã;;G.703;PRCAMP_660_2;1;8;Rede de Voz;ReferTelecom;"Substitui circuito antigo
Protegido"
RFT000059;2 Mbps;2002-07-04;2002-07-04;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL02;---;Tr 07;RT;Stª Apolónia;;G.703;SDH-1641-SL03;---;Tr 36;Rede de Dados;ReferTelecom;Provisório para o SAP
RFT000060;2 Mbps;2003-09-17;2004-01-07;Desligado;RT;Campolide CTC;;G.703;OLTE 4x2;---;;RT;Paço de Arcos;;G.703;;---;;Rede de Dados;ReferTelecom;
RFT000061;2 Mbps;2002-07-12;2012-04-10;Desligado;RT;Alfarelos;;G.703;ALFARE_641_1;2;9;RT;Coimbra B;;G.703;COIMBB_641_1;2;10;Rede de Voz;ReferTelecom;"Circuito (CAS)
Não protegido"
RFT000062;2 Mbps;2002-07-23;2002-07-23;Desligado;RT;G. Oriente;;G.703;SDH-1660-SL02;---;Tr 17;RT;Carregado;;G.703;OLTE-SUL;---;Tr 04;Rede de Voz;ReferTelecom;OLTE até  Carregado - MUX2000 - Acesso
RFT000063;2 Mbps;2002-08-14;2002-08-14;Desligado;RT;Campolide CTC;;G.703;OLTE-1-Alcatel-4x2;---;Tr 01;RT;Alcantara Terra;;G.703;OLTE-Alcatel-4x2;---;Tr 01;Rede de Dados;ReferTelecom;Utiliza as fibras 3 e 4, do CTC Campolide á Set Campolide, da Set Campolide a Alcantâra utiliza as fibras 33 e 34.
RFT000064;2 Mbps;2002-07-26;2005-01-27;Desligado;RT;Campolide DTI;;G.703;SDH-1641-SL02;---;Tr 12;RT;G. Oriente L7;;G.703;SDH-1641 -SL03;---;Tr 01 (22);Rede de Dados;ReferTelecom;
