ID;Referência;Cliente;Projeto;Distância IET;Distância Ótica;Data Pedido;Data Entrega;ESTADO;Local_A;Equipamento_A;Slot_A;Porto_A;Local_B;Equipamento_B;Slot_B;Porto_B;Observações
1;LOIPT00001;IPT Tx Dados;S2025_00432;17.453;;2025-03-03;;I;Entrocamento;;;;Sta. Cita;;;;Ramal de Tomar_Rede Secundária Voz Entroncamento-Sta. Cita
2;LOIPT00002;IPT Tx Dados;S2025_00432;5.65;;2025-03-03;;I;Sta. Cita;;;;Tomar;;;;Ramal de Tomar_Rede Secundária Voz Sta. Cita-Tomar
3;LOIPT00003;IPT Tx Dados;S2025_00432;8.3;;2025-03-03;;I;Riachos;;;;Mato Miranda;;;;Linha do Norte_Rede Secundária Voz Riachos-Mato Miranda
4;LOIPT00004;IPT Tx Dados;S2025_00432;10.1;;2025-03-03;;I;Mato Miranda;;;;Vale Figueira;;;;Linha do Norte_Rede Secundária Voz Mato Miranda-Vale Figueira
5;LOIPT00005;IPT Tx Dados;S2025_00432;17.5;;2025-03-03;;I;Vale Figueira;;;;Vale de Santarém;;;;Linha do Norte_Rede Secundária Voz Vale Figueira-Vale de Santarém
6;LOIPT00006;IPT Tx Dados;S2025_00432;6.0;;2025-03-03;;I;Vale de Santarém;;;;Santana Cartaxo;;;;Linha do Norte_Rede Secundária Voz Vale de Santarém-Santana Cartaxo
7;LOIPT00007;IPT Tx Dados;S2025_00432;6.0;;2025-03-03;;I;Santana Cartaxo;;;;Reguengo;;;;Linha do Norte_Rede Secundária Voz Santana Cartaxo-Reguengo
8;LOIPT00008;IPT Tx Dados;S2025_00432;3.339;;2025-03-03;;I;Reguengo;;;;Virtudes;;;;Linha do Norte_Rede Secundária Voz Reguengo-Virtudes
9;LOIPT00009;IPT Tx Dados;S2025_00432;3.791;;2025-03-03;;I;Virtudes;;;;Azambuja;;;;Linha do Norte_Rede Secundária Voz Virtudes-Azambuja
10;LOIPT00010;IPT Tx Dados;S2025_00432;1.605;;2025-03-03;;I;Castanheira;;;;SST V.F. Xira;;;;Linha do Norte_Rede Secundária Voz Castanheira-SST V.F. Xira
11;LOIPT00011;IPT Tx Dados;S2025_00432;2.599;;2025-03-03;;I;SST V.F. Xira;;;;V.F. Xira;;;;Linha do Norte_Rede Secundária Voz SST V.F. Xira-V.F. Xira
